conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
13324,14236,"Tajikistan, Kyrgyzstan",Government of Kyrgyzstan,132,,Government of Tajikistan,131,,1,Common Border,2021,56,56,56,2,"Tajikistan, Kyrgyzstan",703,,702,,"702, 703","702, 703",3,22.1
13840,14953,Burkina Faso,Government of Burkina Faso,78,Government of France,IS,234,,1,Islamic State,2019,78,73,137,4,Burkina Faso,439,220,,,439,439,4,22.1
13840,14953,Burkina Faso,Government of Burkina Faso,78,Government of France,IS,234,,1,Islamic State,2020,160,131,182,4,Burkina Faso,439,220,,,439,439,4,22.1
13840,14953,Burkina Faso,Government of Burkina Faso,78,"Government of Chad, Government of France, Government of Niger",IS,234,,1,Islamic State,2021,170,152,176,4,Burkina Faso,439,"436, 483, 220",,,439,439,4,22.1
411,867,Lesotho,Government of Lesotho,104,"Government of Botswana, Government of South Africa",Military faction (Lesotho),550,,2,,1998,78,78,78,4,Lesotho,570,"560, 571",,,570,570,4,22.1
412,868,Serbia (Yugoslavia),Government of Serbia (Yugoslavia),49,,UCK,357,,1,Kosovo,1998,1235,379,2016,3,Serbia (Yugoslavia),345,,,,345,345,1,22.1
412,868,Serbia (Yugoslavia),Government of Serbia (Yugoslavia),49,,UCK,357,"Government of Greece, Government of United Kingdom, Government of Iceland, Government of Denmark, Government of Italy, Government of Portugal, Government of Hungary, Government of Luxembourg, Government of Norway, Government of Canada, Government of Belgium, Government of Spain, Government of United States of America, Government of Turkey, Government of France, Government of Czech Republic, Government of Germany, Government of Netherlands, Government of Poland",1,Kosovo,1999,1404,1349,3074,4,"Serbia (Yugoslavia), Albania",345,,,"325, 235, 20, 385, 2, 210, 316, 200, 310, 212, 390, 395, 640, 260, 350, 211, 220, 230, 290",345,"339, 345",1,22.1
13886,14741,Jordan,Government of Jordan,120,,IS,234,,1,Islamic State,2016,34,34,35,3,"Jordan, Syria",663,,,,663,"663, 652",2,22.1
13902,14701,Turkey,Government of Turkey,115,,IS,234,,1,Islamic State,2016,1087,1082,1087,3,"Turkey, Iraq, Syria",640,,,,640,"652, 640, 645",2,22.1
13902,14701,Turkey,Government of Turkey,115,,IS,234,,1,Islamic State,2017,770,703,916,3,"Turkey, Syria",640,,,,640,"640, 652",2,22.1
13902,14701,Turkey,Government of Turkey,115,,IS,234,,1,Islamic State,2015,26,26,27,3,"Turkey, Syria",640,,,,640,"640, 652",2,22.1
11342,11971,India,Government of India,141,,GNLA,1163,,1,Garoland,2012,27,23,27,3,India,750,,,,750,750,3,22.1
11342,11971,India,Government of India,141,,GNLA,1163,,1,Garoland,2014,26,23,32,3,India,750,,,,750,750,3,22.1
11344,11977,Sudan,Government of Sudan,112,,Republic of South Sudan,1129,,1,Abyei,2011,145,145,145,3,Sudan,625,,,,625,625,4,22.1
11345,12413,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2,,2016,735,734,1155,3,South Sudan,626,,,,626,626,4,22.1
11345,12413,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2,,2017,484,478,684,3,"South Sudan, Uganda",626,,,,626,"626, 500",4,22.1
11345,12413,South Sudan,Government of South Sudan,113,,SPLM/A - IO,4226,,2,,2018,526,497,727,3,South Sudan,626,,,,626,626,4,22.1
11345,15195,South Sudan,Government of South Sudan,113,,NAS,6794,,2,,2019,110,102,188,3,South Sudan,626,,,,626,626,4,22.1
11345,15195,South Sudan,Government of South Sudan,113,,NAS,6794,,2,,2020,58,49,135,3,South Sudan,626,,,,626,626,4,22.1
11345,"17033, 15195",South Sudan,Government of South Sudan,113,,"NAS, SPLM/A - IO - Kitgwang faction","8201, 6794",,2,,2021,188,188,209,3,South Sudan,626,,,,626,626,4,22.1
11345,"11979, 11978",South Sudan,Government of South Sudan,113,,"SSDM/A, SSLM/A","1108, 1124",,2,,2011,216,216,326,3,South Sudan,626,,,,626,626,4,22.1
11345,11979,South Sudan,Government of South Sudan,113,,SSLM/A,1124,,2,,2012,137,137,137,3,South Sudan,626,,,,626,626,4,22.1
11345,"11805, 12413",South Sudan,Government of South Sudan,113,,"SPLM/A - IO, SSDM/A - Cobra Faction","4226, 3563",,2,,2013,926,926,2318,3,South Sudan,626,,,,626,626,4,22.1
11345,12413,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,,2,,2014,1667,719,2993,4,South Sudan,626,500,,,626,626,4,22.1
11345,12413,South Sudan,Government of South Sudan,113,Government of Uganda,SPLM/A - IO,4226,,2,,2015,493,492,522,4,South Sudan,626,500,,,626,626,4,22.1
11346,"14059, 15225, 15333",Libya,Government of Libya,111,,"Forces of Khalifa al-Ghawil, PFLL, Forces of the House of Representatives","5802, 6893, 6814",,2,,2017,308,308,337,3,Libya,620,,,,620,620,4,22.1
11346,14059,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,"Government of Sudan, Government of United Arab Emirates",2,,2019,1588,1381,1664,4,Libya,620,,,"625, 696",620,620,4,22.1
11346,14059,Libya,Government of Libya,111,Government of Turkey,Forces of the House of Representatives,5802,,2,,2020,668,564,777,4,Libya,620,640,,,620,620,4,22.1
11346,"11980, 10885",Libya,Government of Libya,111,Government of Zimbabwe (Rhodesia),"Forces of Muammar Gaddafi, NTC","1127, 1126",,2,,2011,3762,3722,6285,4,Libya,620,552,,,620,620,4,22.1
11346,15539,Libya,Government of Libya,111,,ASL,7046,,2,,2013,31,17,61,3,Libya,620,,,,620,620,4,22.1
11346,"14059, 14249",Libya,Government of Libya,111,,"Zintan Military Council, Forces of the House of Representatives","5802, 5940",,2,,2014,274,274,274,3,Libya,620,,,,620,620,4,22.1
11346,14059,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,,2,,2015,156,156,190,3,Libya,620,,,,620,620,4,22.1
11347,"12575, 11986",Mali,Government of Mali,72,"Government of Bhutan, Government of Madagascar, Government of Mauritania, Government of United Kingdom, Government of Gambia, Government of Cameroon, Government of Denmark, Government of Lithuania, Government of Bangladesh, Government of Tunisia, Government of Italy, Government of Ivory Coast, Government of Sierra Leone, Government of Niger, Government of Portugal, Government of Guinea-Bissau, Government of Burundi, Government of Hungary, Government of Sweden, Government of Switzerland, Government of Burkina Faso, Government of Congo, Government of Ethiopia, Government of Nigeria, Government of Estonia, Government of Norway, Government of Belgium, Government of United States of America, Government of Turkey, Government of Senegal, Government of Armenia, Government of Liberia, Government of Cambodia (Kampuchea), Government of Guinea, Government of France, Government of Togo, Government of Finland, Government of Egypt, Government of Ghana, Government of China, Government of Kenya, Government of Austria, Government of Czech Republic, Government of Germany, Government of Jordan, Government of Romania, Government of Yemen (North Yemen), Government of Nepal, Government of Indonesia, Government of Netherlands, Government of Chad, Government of El Salvador, Government of Benin","AQIM, Ansar Dine","539, 1157",,2,,2016,96,96,111,4,Mali,432,"530, 484, 420, 371, 760, 678, 366, 325, 305, 483, 235, 385, 438, 435, 811, 651, 450, 2, 404, 210, 316, 580, 475, 360, 663, 439, 771, 200, 310, 437, 850, 434, 461, 390, 501, 433, 616, 516, 436, 368, 260, 640, 211, 710, 220, 451, 380, 790, 225, 471, 375, 452, 92",,,432,432,4,22.1
11347,"15108, 12575",Mali,Government of Mali,72,"Government of Bhutan, Government of Mauritania, Government of United Kingdom, Government of Gambia, Government of Cameroon, Government of Denmark, Government of Lithuania, Government of Bangladesh, Government of Tunisia, Government of Italy, Government of Ivory Coast, Government of Sierra Leone, Government of Niger, Government of Portugal, Government of Guinea-Bissau, Government of Burundi, Government of Hungary, Government of Sweden, Government of Switzerland, Government of Burkina Faso, Government of Ethiopia, Government of Nigeria, Government of Estonia, Government of Norway, Government of Belgium, Government of Latvia, Government of Bosnia-Herzegovina, Government of United States of America, Government of Senegal, Government of Armenia, Government of Liberia, Government of Cambodia (Kampuchea), Government of Guinea, Government of France, Government of Sri Lanka, Government of Togo, Government of Finland, Government of Egypt, Government of Ghana, Government of China, Government of Kenya, Government of Austria, Government of Czech Republic, Government of Germany, Government of Jordan, Government of Romania, Government of Yemen (North Yemen), Government of Nepal, Government of Indonesia, Government of Netherlands, Government of Chad, Government of El Salvador, Government of Benin","AQIM, JNIM","539, 6716",,2,,2017,312,303,414,4,Mali,432,"530, 420, 371, 760, 678, 366, 325, 305, 483, 235, 385, 438, 435, 811, 651, 450, 2, 404, 210, 316, 367, 475, 360, 663, 439, 780, 771, 200, 310, 346, 437, 850, 434, 461, 390, 501, 433, 616, 516, 436, 368, 260, 211, 710, 220, 451, 380, 790, 225, 471, 375, 452, 92",,,432,432,4,22.1
11347,15108,Mali,Government of Mali,72,"Government of Bhutan, Government of Madagascar, Government of Mexico, Government of Mauritania, Government of United Kingdom, Government of Gambia, Government of New Zealand, Government of Cameroon, Government of Denmark, Government of Lithuania, Government of Bangladesh, Government of Tunisia, Government of Italy, Government of Ivory Coast, Government of Sierra Leone, Government of Niger, Government of Portugal, Government of Burundi, Government of Hungary, Government of Sweden, Government of Switzerland, Government of Burkina Faso, Government of Ethiopia, Government of Nigeria, Government of Estonia, Government of Norway, Government of Canada, Government of Belgium, Government of Guatemala, Government of Latvia, Government of Bosnia-Herzegovina, Government of Pakistan, Government of Spain, Government of United States of America, Government of Turkey, Government of Senegal, Government of Armenia, Government of Liberia, Government of Cambodia (Kampuchea), Government of Guinea, Government of France, Government of Sri Lanka, Government of Togo, Government of Finland, Government of Egypt, Government of Ghana, Government of China, Government of Kenya, Government of Austria, Government of Czech Republic, Government of Germany, Government of Jordan, Government of Romania, Government of Nepal, Government of Indonesia, Government of Netherlands, Government of Chad, Government of El Salvador, Government of Benin",JNIM,6716,,2,,2018,402,375,435,4,Mali,432,"530, 420, 70, 371, 760, 770, 366, 325, 305, 483, 20, 235, 385, 438, 435, 811, 651, 450, 2, 210, 360, 316, 367, 580, 920, 475, 663, 439, 780, 771, 200, 310, 346, 90, 437, 850, 434, 461, 390, 501, 433, 616, 516, 436, 368, 260, 640, 211, 710, 220, 451, 380, 790, 230, 225, 471, 375, 452, 92",,,432,432,4,22.1
