"state","state_abbr","gov_position","fmap_percentage","multiplier","bal2012","bal2013","percent_metropolitan","gov_party","sen_party","house_party","population","percent_white","percent_black","percent_hispanic","percent_other_race","percent_favorable_aca","percent_supporting_expansion","percent_supporting_tea_party","obama_share_12","ideology","percent_medicaid","percent_uninsured","dsh_payments","percent_poverty","percent_poverty138","n_low_birthweight","infant_mortality_rate","cancer_incidence","heart_disease_death_rate","life_expectancy"
"Alabama","AL","Opposes",68.99,2.22,1,3.1,73.6549256,"Republican","Republican","Republican",4822023,67,26,4,3,38.2711108911823,57.7616115233522,30.7767742947428,38.7837715,0.244043632,16,14,315520769,22,31,6165,9.2,472.9,236,75.4
"Alaska","AK","Opposes",50,1,259,212.4,70.2622271,"Republican","Republican","Republican",731449,67,2,8,23,37.4428493677838,47.424686737961,30.9956799497101,42.6847095,0.047233072,15,19,20901012,20,29,651,6.5,451.4,151.5,78.3
"Arizona","AZ","Supports",68.46,2.17,7.7,13.8,84.9446772,"Republican","Republican","Republican",6553255,54,4,34,8,39.6721609154912,53.2125448396785,29.9007108577522,45.3866198,0.104864263,18,18,103890985,23,32,6190,6.4,387.1,146.7,79.6
"Arkansas","AR","Supports",70.88,2.43,0,0,65.4232928,"Democrat","Republican","Republican",2949131,75,15,5,4,36.1623814680961,54.438100174869,33.8283217306806,37.8455946,0.226741097,19,18,44262980,24,35,3391,7.6,426.7,222.5,76
"California","CA","Supports",50,1,-1.9,0.8,98.3640112,"Democrat","Democrat","Democrat",38041430,40,6,39,16,56.0999240847165,53.261622835146,23.0747313763205,61.8728112,-0.1765997,19,19,1124844365,23,32,34641,5.1,434,161.9,80.8
"Colorado","CO","Supports",51.01,1.04,11.9,4.8,88.4719122,"Democrat","Democrat","Democrat",5187582,71,4,20,5,45.0011650633043,58.3101822274641,28.511762348733,52.7480072,0.014228342,13,15,94912751,17,23,5811,6.2,430,132.8,80
"Connecticut","CT","Supports",50,1,0,0.2,95.894826,"Democrat","Democrat","Democrat",3590347,72,9,12,6,52.2239143634457,48.6245852429385,22.2329688077306,58.7725775,-0.23482902,15,8,205216760,15,21,3011,6.1,509.1,155.7,80.8
"Delaware","DE","Supports",53.63,1.16,15.7,18.2,79.2780408,"Democrat","Democrat","Democrat",917092,65,20,10,5,52.4637037667977,59.5357262937183,26.3292046298217,59.4469549,-0.109396074,18,10,9289338,19,27,1016,NA,502.6,175.7,78.4
"Florida","FL","Supports",59.72,1.48,8.6,12,96.2480062,"Republican","Republican","Republican",19317568,58,15,22,4,47.022917052716,54.912026959754,28.1749303886266,50.4422521,-0.019153483,14,21,205216760,21,30,18681,7.1,439.5,162.3,79.4
"Georgia","GA","Opposes",66.94,2.02,3.3,3.1,86.6172519,"Republican","Republican","Republican",9919945,56,30,8,6,46.0216990024346,56.5251261963049,30.1006641871353,46.0433509,0.135669084,14,19,275760021,22,30,12912,7.8,461.4,192.6,77.2
"Hawaii","HI","Supports",52.23,1.09,5.4,7.2,70.1591779,"Democrat","Democrat","Democrat",1392313,18,1,11,69,61.965456264517,59.5862564506637,20.5518448896619,71.7038485,-0.187669903,18,8,1e+07,24,34,1584,6.1,453.3,134.7,81.3
"Idaho","ID","Opposes",71.75,2.54,4.8,4,63.6570369,"Republican","Republican","Republican",1595728,82,0,13,4,28.2992730179373,41.8841907670876,37.4676791279434,33.5786132,0.332898004,14,16,16866254,19,29,1573,6,452.3,159.3,79.5
"Illinois","IL","Supports",50.76,1.03,0.1,0.1,88.9096518,"Democrat","Democrat","Democrat",12875255,63,14,16,7,55.0517975187469,55.3751131347462,22.4253395245864,58.5775234,-0.127803096,17,14,220608017,19,27,13666,7,479.3,181.7,79
"Indiana","IN","Opposes",66.52,1.99,15.9,18.5,72.7894725,"Republican","Republican","Republican",6537334,82,9,5,3,42.1854785281297,41.3728481509261,28.9368459785062,44.7996254,0.142614463,17,13,219325413,20,27,6732,7.4,443.9,191.8,77.6
"Iowa","IA","Supports",55.54,1.25,21.5,23.2,59.356632,"Republican","Democrat","Republican",3074186,86,3,6,5,45.4007062646206,41.7331294677769,26.3204717917949,52.9593519,0.093761118,16,10,40408349,14,22,2700,5.3,493.4,173.3,79.7
"Kansas","KS","Weighing Options",56.63,1.31,8.2,8.6,65.7177831,"Republican","Republican","Republican",2885905,78,6,10,7,39.4817640911206,47.151773444699,28.9837284613954,38.8866733,0.120060506,13,13,42325957,18,25,2881,7.5,464.5,164.9,78.7
"Kentucky","KY","Supports",69.94,2.33,2.2,1.8,55.2249561,"Democrat","Republican","Democrat",4380415,85,7,4,3,33.6156662764729,51.0542243637898,36.6113255327563,38.4572276,0.194089206,18,15,148782151,22,31,5044,6.8,508.7,210.1,76
"Louisiana","LA","Opposes",62.05,1.64,6.8,5.3,81.2039714,"Republican","Republican","Republican",4601893,62,31,4,2,42.5588396620569,57.0330688618078,30.5537467637986,41.2531744,0.190059399,20,20,731960000,26,34,6700,9,493.8,229.4,75.7
"Maine","ME","Weighing Options",61.88,1.62,2.8,0.2,52.5405003,"Republican","Democrat","Democrat",1329192,95,1,1,3,47.2319257331465,53.7061183816328,23.957112817244,57.8599214,-0.096092655,23,10,107738799,16,24,814,5.9,494.1,151.1,79.2
"Maryland","MD","Supports",50,1,8.2,8.9,96.5457605,"Democrat","Democrat","Democrat",5884563,53,28,9,10,58.3719023711148,64.6575106284812,22.7137843245749,63.3217258,-0.223156938,12,13,78238890,15,21,6474,7.7,437.6,182.2,78.8
"Massachusetts","MA","Supports",50,1,6.1,3.8,97.7875323,"Democrat","Democrat","Democrat",6646144,75,6,11,8,53.1871146279692,55.7209122072276,22.0005388395534,61.7856807,-0.342890443,22,4,312955559,16,22,5634,5,476.3,150,80.5
"Michigan","MI","Supports",65.54,1.9,16.3,8.8,85.6254991,"Republican","Republican","Republican",9883360,77,14,4,5,50.9096426714406,47.9775026101343,25.1558107256684,54.8005321,-0.01807356,17,12,271912207,19,26,9610,7.7,471.2,204.2,78.2
"Minnesota","MN","Supports",50,1,10.8,5.3,74.6209158,"Democrat","Democrat","Democrat",5379139,83,5,5,7,49.7981331879903,37.2086594322546,25.4897441352796,53.9412265,-0.019057519,14,9,76637045,13,19,4415,5.4,475.9,119.4,81.1
"Mississippi","MS","Opposes",73.58,2.79,3.1,1,44.7397719,"Republican","Republican","Republican",2984926,58,37,2,2,46.8038078521612,63.9259041568927,28.6371291767602,44.1981008,0.226732968,20,16,156477779,27,36,4852,10,475.7,251.1,75
"Missouri","MO","Supports",63.45,1.74,5.8,4.6,79.6199627,"Democrat","Republican","Republican",6021988,81,11,3,5,42.0161837905426,39.4844303447726,28.0077768003207,45.2213332,0.138513984,14,14,486107200,19,26,6286,7.2,461.3,201.8,77.5
"Montana","MT","Supports",65.9,1.93,25.5,22.5,34.0108622,"Democrat","Republican","Republican",1005141,89,0,3,8,35.1773944902139,48.158458501228,33.6263606914854,42.9657681,0.194765506,13,18,11646847,18,26,901,6.6,462.6,154.2,78.5
"Nebraska","NE","Opposes",53.27,1.14,26.9,18.4,63.4955452,"Republican","Republican","Republican",1855525,79,4,11,6,36.5225584190989,41.0439145560798,30.6810551410791,38.8706097,0.231803811,11,13,29036347,14,20,1839,5.9,444.2,154.2,79.8
"Nevada","NV","Supports",64.36,1.81,12.2,9.2,90.2581228,"Republican","Democrat","Democrat",2758931,51,8,27,13,45.9026605256376,54.6537951907463,28.7719999926054,53.4075422,0.073271314,10,23,47456375,21,29,2965,5.8,459.6,197.3,78.1
"New Hampshire","NH","Supports",50,1,1.9,0.7,62.8985398,"Democrat","Republican","Democrat",1320718,93,1,3,4,43.886275738451,46.7270986647685,26.1769636287695,52.833752,-0.036215924,8,12,164274500,11,16,881,4.8,482.4,152.7,80.3
"New Jersey","NJ","Supports",50,1,1.5,1.2,100,"Republican","Democrat","Democrat",8864590,59,12,20,9,53.1656835425683,49.1300775503961,20.5635135775083,58.9868511,-0.167437294,12,15,660541446,16,23,8814,5.3,488.8,182,80.3
"New Mexico","NM","Supports",69.65,2.29,12.8,10.8,73.9486491,"Republican","Democrat","Democrat",2085538,42,1,45,12,52.8461049175538,52.9302694947645,25.1645204439863,55.2952046,-0.078612257,21,21,20901012,27,35,2427,5.7,410.7,151.2,78.4
"New York","NY","Supports",50,1,3.2,2.5,91.8423588,"Democrat","Republican","Democrat",19570261,57,14,18,10,60.10574821094,57.2001778491476,20.0057375782412,64.3008945,-0.365263787,23,12,1648147103,22,31,20049,5.5,493.9,199.9,80.5
