age_bin,gender_bin,race_bin,educ_bin,count,fips
18-29,Female,Asian,College degree,1622,01
18-29,Female,Asian,H.S. or less,1310,01
18-29,Female,Asian,Postgraduate,872,01
18-29,Female,Asian,Some college,1719,01
18-29,Female,Black,College degree,13093,01
18-29,Female,Black,H.S. or less,51851,01
18-29,Female,Black,Postgraduate,2424,01
18-29,Female,Black,Some college,59058,01
18-29,Female,Hispanic,College degree,1320,01
18-29,Female,Hispanic,H.S. or less,9873,01
18-29,Female,Hispanic,Postgraduate,391,01
18-29,Female,Hispanic,Some college,6406,01
18-29,Female,Other,College degree,1612,01
18-29,Female,Other,H.S. or less,4258,01
18-29,Female,Other,Postgraduate,365,01
18-29,Female,Other,Some college,4655,01
18-29,Female,White,College degree,39685,01
18-29,Female,White,H.S. or less,83463,01
18-29,Female,White,Postgraduate,9577,01
18-29,Female,White,Some college,100306,01
18-29,Male,Asian,College degree,1521,01
18-29,Male,Asian,H.S. or less,1931,01
18-29,Male,Asian,Postgraduate,950,01
18-29,Male,Asian,Some college,1632,01
18-29,Male,Black,College degree,7069,01
18-29,Male,Black,H.S. or less,67957,01
18-29,Male,Black,Postgraduate,1083,01
18-29,Male,Black,Some college,43150,01
18-29,Male,Hispanic,College degree,1230,01
18-29,Male,Hispanic,H.S. or less,12724,01
18-29,Male,Hispanic,Postgraduate,266,01
18-29,Male,Hispanic,Some college,5561,01
18-29,Male,Other,College degree,1115,01
18-29,Male,Other,H.S. or less,5537,01
18-29,Male,Other,Postgraduate,169,01
18-29,Male,Other,Some college,5087,01
18-29,Male,White,College degree,30638,01
18-29,Male,White,H.S. or less,107499,01
18-29,Male,White,Postgraduate,6507,01
18-29,Male,White,Some college,93538,01
30-44,Female,Asian,College degree,3282,01
30-44,Female,Asian,H.S. or less,2133,01
30-44,Female,Asian,Postgraduate,1994,01
30-44,Female,Asian,Some college,1926,01
30-44,Female,Black,College degree,18959,01
30-44,Female,Black,H.S. or less,54041,01
30-44,Female,Black,Postgraduate,14966,01
30-44,Female,Black,Some college,50046,01
30-44,Female,Hispanic,College degree,2618,01
30-44,Female,Hispanic,H.S. or less,13712,01
30-44,Female,Hispanic,Postgraduate,1429,01
30-44,Female,Hispanic,Some college,4625,01
30-44,Female,Other,College degree,2376,01
30-44,Female,Other,H.S. or less,2022,01
30-44,Female,Other,Postgraduate,1224,01
30-44,Female,Other,Some college,4366,01
