State,Gender,Education,18-29,30-44,45-64,65+
Alabama,, -> Total -> Total Alabama,789024,904709,1278571,828050
Alabama,, -> Total -> Total Alabama -> Total Male,395164,439494,612488,359932
Alabama,Male,H.S. or less,195648,198528,294365,168153
Alabama,Male,Some college,148968,129718,171277,91367
Alabama,Male,College graduate,41573,73950,89582,56376
Alabama,Male,Postgraduate,8975,37298,57264,44036
Alabama,, -> Total -> Total Alabama -> Total Female,393860,465215,666083,468118
Alabama,Female,H.S. or less,150755,154651,265227,258441
Alabama,Female,Some college,172144,157324,221782,119811
Alabama,Female,College graduate,57332,94553,107390,49935
Alabama,Female,Postgraduate,13629,58687,71684,39931
Alaska,, -> Total -> Total Alaska,130879,153415,182116,86999
Alaska,, -> Total -> Total Alaska -> Total Male,72700,79251,95193,42896
Alaska,Male,H.S. or less,37158,30099,37071,12990
Alaska,Male,Some college,27911,27899,32195,16125
Alaska,Male,College graduate,6611,14267,15183,7363
Alaska,Male,Postgraduate,1020,6986,10744,6418
Alaska,, -> Total -> Total Alaska -> Total Female,58179,74164,86923,44103
Alaska,Female,H.S. or less,24262,19757,27437,17259
Alaska,Female,Some college,23220,28046,29228,14144
Alaska,Female,College graduate,8805,16647,18935,7491
Alaska,Female,Postgraduate,1892,9714,11323,5209
Arizona,, -> Total -> Total Arizona,1200892,1356210,1715118,1262132
Arizona,, -> Total -> Total Arizona -> Total Male,622501,691410,832789,581075
Arizona,Male,H.S. or less,297458,265644,318573,187579
Arizona,Male,Some college,233283,225737,271766,186260
Arizona,Male,College graduate,75562,129494,149265,111140
Arizona,Male,Postgraduate,16198,70535,93185,96096
Arizona,, -> Total -> Total Arizona -> Total Female,578391,664800,882329,681057
Arizona,Female,H.S. or less,226867,210327,304884,275397
Arizona,Female,Some college,240717,225512,312836,229466
Arizona,Female,College graduate,92899,143800,163410,100917
Arizona,Female,Postgraduate,17908,85161,101199,75277
Arkansas,, -> Total -> Total Arkansas,485053,561631,752650,509776
Arkansas,, -> Total -> Total Arkansas -> Total Male,246823,279153,366658,226796
Arkansas,Male,H.S. or less,126099,133736,196815,116058
Arkansas,Male,Some college,89610,78537,95076,56706
Arkansas,Male,College graduate,24468,44501,47206,32290
Arkansas,Male,Postgraduate,6646,22379,27561,21742
Arkansas,, -> Total -> Total Arkansas -> Total Female,238230,282478,385992,282980
Arkansas,Female,H.S. or less,94429,100900,168127,159309
Arkansas,Female,Some college,100214,95700,125703,74237
Arkansas,Female,College graduate,34631,54474,59321,28229
Arkansas,Female,Postgraduate,8956,31404,32841,21205
California,, -> Total -> Total California,6807400,8159788,9780757,5645719
California,, -> Total -> Total California -> Total Male,3508959,4147687,4816713,2511905
California,Male,H.S. or less,1437878,1560472,1929022,879313
California,Male,Some college,1383865,1117098,1321576,693858
California,Male,College graduate,562814,927874,941712,498650
California,Male,Postgraduate,124402,542243,624403,440084
California,, -> Total -> Total California -> Total Female,3298441,4012101,4964044,3133814
California,Female,H.S. or less,1053928,1255784,1848907,1361702
California,Female,Some college,1411285,1107886,1483945,902578
California,Female,College graduate,672108,1001485,1016239,528184
California,Female,Postgraduate,161120,646946,614953,341350
Colorado,, -> Total -> Total Colorado,974425,1225917,1417826,808462
Colorado,, -> Total -> Total Colorado -> Total Male,508778,634813,704457,369275
Colorado,Male,H.S. or less,208668,199520,220961,100206
Colorado,Male,Some college,188574,178105,202532,100002
Colorado,Male,College graduate,95915,170587,169737,85272
Colorado,Male,Postgraduate,15621,86601,111227,83795
Colorado,, -> Total -> Total Colorado -> Total Female,465647,591104,713369,439187
Colorado,Female,H.S. or less,152368,138222,193597,158558
Colorado,Female,Some college,174108,162397,219355,135598
Colorado,Female,College graduate,113681,179354,182793,82261
Colorado,Female,Postgraduate,25490,111131,117624,62770
Connecticut,, -> Total -> Total Connecticut,567525,648689,1003953,615183
