"state","county","fipscode","fipscode2","office","district","total.votes","party","candidate","votes"
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"Green","Angela Green",961
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"Libertarian","Barry Hess (write-in)",2
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"Independent","Jeff Pearce (write-in)",5
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"The Old Republic Party","Jonathan Ringham (write-in)",1
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"Democrat","Kyrsten Sinema",16298
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"Republican","Martha McSally",7810
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"No party","Michael DeCarlo",1
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"Republican","Robert Kay (write-in)",3
"AZ","Apache","04001","0400100000","US Senate","statewide",25087,"Democrat","Sheila Bilyeu (write-in)",6
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"Green","Angela Green",1212
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"Libertarian","Barry Hess (write-in)",10
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"Anti-Terror Party","Edward Davida (write-in)",1
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"Independent","Jeff Pearce (write-in)",1
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"The Old Republic Party","Jonathan Ringham (write-in)",2
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"Democrat","Kyrsten Sinema",17383
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"Republican","Martha McSally",26929
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"No party","Michael DeCarlo",3
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"Republican","Robert Kay (write-in)",7
"AZ","Cochise","04003","0400300000","US Senate","statewide",45549,"Democrat","Sheila Bilyeu (write-in)",1
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"Green","Angela Green",1757
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"Libertarian","Barry Hess (write-in)",20
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"Anti-Terror Party","Edward Davida (write-in)",0
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"Independent","Jeff Pearce (write-in)",1
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"The Old Republic Party","Jonathan Ringham (write-in)",2
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"Democrat","Kyrsten Sinema",34240
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"Republican","Martha McSally",19249
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"No party","Michael DeCarlo",3
"AZ","Coconino","04005","0400500000","US Senate","statewide",55280,"Republican","Robert Kay (write-in)",2
