paid,region,gwno,conflict_id,conflict_name,dyad_id,dyad_name,actor_id,actor_name,incompatibility,pa_name,year,pa_date,pa_comment,pa_sign,c_sign,pa_3rd,c_3rd,ended,duration,c_duration,cease,intarmy,ddr,withd,mil_prov,pp,intgov,intciv,elections,interim,natalks,shagov,pol_prov,aut,fed,ind,ref ,shaloc,regdev,cul,demarcation,locgov,terr_prov,amn,pris,recon,return ,justice_prov,reaffirm,outlin,pko,gender,co_impl,termdur,noconf17,txt,linktofulltextagreement,inclusive,no_dyad,pa_type,out_iss,procID,frame,version,dateintervalstart_meta,dateintervalend_meta
1565,3,700,333,Afghanistan: Government,"729, 726, 727, 725, 730, 732","Government of Afghanistan - Mahaz-i Milli-yi Islami-yi Afghanistan , Government of Afghanistan - Hizb-i Islami-yi Afghanistan, Government of Afghanistan - Hizb-i Islami-yi Afghanistan - Khalis faction, Government of Afghanistan - Harakat-i Inqilab-i Islami-yi Afghanistan , Government of Afghanistan - Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Government of Afghanistan - Hizb-i Wahdat","130, 296, 299, 294, 293, 297, 300","Government of Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan , Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Harakat-i Inqilab-i Islami-yi Afghanistan , Ittihad-i Islami Bara-yi Azadi-yi Afghanistan , Hizb-i Wahdat",2,Peshawar Accord,1992,1992-04-24,"Partial peace agreement 

This agreement set up an interim council for a provisional period of Afghanistan. It outlines the structure of the transitional government and divides power among Mujahideen political groups. The transitional period is to last two years. 

With regard to the incompatibility, the agreement establishes a new government, after a process of ousting the existing government, and provides for the formation of the Islamic State of Afghanistan. In 1992, the Soviet-backed government in Afghanistan was overthrown by Mujahideen forces. Former President Najibullah Ahmadzai resigned on 16 April and the Mujaddidi was installed on 28 April. It is unclear who controlled the government during the two weeks in between, though according to UCDP coding, Jam’iyyat-i Islami-yi Afghanistan is understood to have controlled the government from 17 April.

The agreement states that Hazrat Sahib Sibghatullah Mojaddedi would lead the effort to take power in Kabul and install the Transitional State. He was to represent the Presidentship for two months following, and would remain as Chairman of the Islamic Council for a period of four months. It further stipulates a transfer of power with Rabbani holding Presidentship for four months and a transitional government to be composed of Hizb-e-Islami, Afghanistan for Prime Minister; Ittehad-e-Islami, Afghanistan for Deputy Prime Minister and Ministry of the Interior; Hizb-e-Islamic of Maulvi Khalis for Deputy Prime Minister and Ministry of Education; National Islamic Front for Deputy Prime Minister and Ministry of Foreign Affiars; Jamiat-e-Islami, Afghanistan for Ministry of Defense; and Harkat-e-Inqilab-e-Islami Organization as Supreme Court; with Hizb-e-Wahdat, Shura-e-Etelaf, Maulvi Mansoor and others to be granted Ministries by the Leadership Council. The agreement states that the Islamic Council is tasked with the decision in regards to the Transitional Government, to last for two years. ","No signatures, but agreement mentions: Jamiat-e-Islami (as government), Hazrat Sahib Sibghatullah Mojaddedi, Professor Burhan ud-Din Rabbani, Hizb-e-Islami, Ittehad-e-Islami, Hizb-e-Islamic of Maulivi Khalis, National Islamic Front, Harkat-e-Inquilab-e-Islami, Hizb-e-Wahdat, Shura-e-Etelaf, and Maulvi Mansoor.","Dyadic peace agreement signed in Peshawar, Pakistan on 24 April 1992. 

The agreement united all Afghan parties except for Hezb-e Islami of Gulbuddin Hekmatyar.",,,,,,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,http://ucdpged.uu.se/peaceagreements/fulltext/Afg%2019920424_PESHAWAR%20ACCORD.pdf,2,6,2,2,105,1,22.1,1975-01-01,2021-12-31
1128,3,700,333,Afghanistan: Government,"726, 732","Government of Afghanistan - Hizb-i Islami-yi Afghanistan, Government of Afghanistan - Hizb-i Wahdat","300, 130, 130, 299, 300","Hizb-i Wahdat, Government of Afghanistan, Government of Afghanistan, Hizb-i Islami-yi Afghanistan, Hizb-i Wahdat",2,"Afghan Peace Accord and Annex on the Division of Powers (""Islamabad accord"")",1993,1993-03-07,"Partial peace agreement    

A number of warring factions and the government of Afghanistan signed the Islamabad Accord on 7 March 1993.

The agreement stipulated an immediate ceasefire, and a permanent cessation of hostilities as soon as a new cabinet for Afghanistan had been put into place. A joint commission comprised of all of the signatory factions and the Organization of the Islamic Conference was created in order to monitor the ceasefire and the permanent cessation of hostilities.

One of the most important issues agreed upon in the accord was the formation of a 16-member defense council, composed of two delegates each from all of the eight signatory factions. The defense council was given the mandate to create a new national army, and to ensure the submission of the armed forces to the said council. Also, the defense council would be responsible for taking control of the heavy weapons deployed around Kabul.

The most important regulation of the incompatibility was the creation of a powersharing arrangement in the form of a transitional government (with a mandate for 18 months) in which Rabbani would remain as President and under which Hekmatyar (Hez-I-Islami) would assume the office of Prime Minister. The Cabinet was to be formed through consultations between the signatory parties in the time following the agreement. Further the agreement outlined the divisions of power between the Prime Minister and the President.Also, the parties agreed to hold elections not later than 18 months following on 29 December 1992. The elections process would be implemented by an independent Elections Commission, comprised of delegates from the warring parties. The goal of this process was to create a Grand Constituent Assembly that in turn would form and ratify a new constitution for Afghanistan.

The accord also contained provisions for the release of all Afghan detainees and prisoners held by the different parties to the conflict. Steps were also taken to consolidate the control of the Afghan state over banking and currency issues.","Professor Burhan-ud-Din Rabbani of Jamiat-i-Islami (President)
Gulbadin Hekmatyar of Hezb-i-Islami
Moulvi Muhammad (with reservation to the President time) of Harkat-e-Inqilab-e-Islami
Sibghatullah Mujjadidi of Jabha-e-Nijat-e-Milli
Pir Syed Ahmed Galliani (with reservation to the President time) of Mahaz-e-Milli
Ahmad Shah Ahmadzai of Ittehad-i-Islami
Sheik Asif Mohseni of Harkat-e-Islamic
Ayatullah Fazil of Hezb-i-Wahdat-e-Islami","Dyadic peace agreement
The negotiations prior to the accord was boycotted by the Hezb-i-Islami faction of Yunus Khales. General Dostum, leader of the powerful Uzbek guerrilla, was excluded from the talks. The agreement was signed in Islamabad, Pakistan on 7 March 1993.",The accord was brokered by Pakistan. Saudi Arabia and Iran were joint sponsors and guarantors of the agreement.,The regional implications of Irans and Saudi Arabias participation was great as the two countries in the past had mounted what was in effect a proxy war in Afghanistan through their rival Mujahideen militias.,True,1993-05-12,"On 16 March 1993 Gulbuddin Hekmatyar returned to Afghanistan to select a cabinet, he sent a list to of members on 2 April 1993  and announced the dissolution of the government. Rabbani refused to comply accusing Hekmatyar of not consulting all the parties of the agreement. The main disagreement was over the post as Defence minister. Rabbani favored Ahmad Shah Masood while Hekmatyar insisted on his departure. At the same time Kabul was heavily attacked.  ",1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,http://ucdpged.uu.se/peaceagreements/fulltext/Afg%2019930307.pdf,2,2,2,3,1,2,22.1,1975-01-01,2021-12-31
1132,3,700,333,Afghanistan: Government,726,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,"130, 299","Government of Afghanistan, Hizb-i Islami-yi Afghanistan",2,Jalalabad accord,1993,1993-05-20,"Partial peace agreement.

The Jalalabad Accord was signed in Jalalabad on 20 May 1993, between nine warring factions in the Afghan conflict. The agreement aimed to settle the power-struggle that lingered on between Hekmatyar () and President Rabbani despite the Islamabad Accord signed on 7 March the same year.

The accord stipulated a permanent ceasefire, which came into force on 23 May, and was to be monitored by a multiparty commission.

The main provision of the agreement was a further specification of the powersharing agreement reached in the Islamabad Accord. The new Afghan Cabinet was to include two ministers each from the nine signatory factions, with Rabbani remaining as President and Hekmatyar assuming the post of Prime Minister. Joint commissions were created to manage the most pressing issues; the control of the ministries of the interior and defense. Other sources say that it was agreed that the President would control the ministry of defense, and the Prime Minister the ministry of the interior. After two months the Mujahideen commanders would elect permanent ministers for interior and defense portfolios. Agreement was also reached, once again, on the establishment of an Electoral Commission which was charged with the task of setting up elections within 18 months.","Burhanuddin Rabbani, President 
Gulbuddin Hekmatyar, Prime-minister designate, Hezb-i-Islami

+ 7 other Mujahideen factions that is to participate in the government.","Dyadic peace agreement

The Jalalabad Accord was signed in Jalalabad the capital of Nangarhar province, on 20 May 1993.",,,True,1994-01-01,"Gulbuddin Hekmatyar was sworn in as Prime Minister on 17 June 1993. Yet, he continued to oppose the Rabbani regime and only participated in one Cabinet meeting. Clashes between the two sides continued and on 24 November they signed a new ceasefire. In January 1994 Hekmatyar and Dostum [Junbish-i Milli-yi Islami](/#/actor/302), formerly allied to the regime, mounted a joint offensive on Kabul to oust President Rabbani.  ",1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2,1,2,3,1,3,22.1,1975-01-01,2021-12-31
1131,3,700,333,Afghanistan: Government,726,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,"130, 299","Government of Afghanistan, Hizb-i Islami-yi Afghanistan",2,Mahipar agreement,1996,1996-05-24,"Partial peace agreement

On May 24 the government of Afghanistan and the Hezb-I-Islami signed a peace agreement aimed at settling the dispute between these two major factions in the Afghan conflict.

The agreement contained a ceasefire, that aimed to end the current fighting and to restore nationwide peace in the territory of Afghanistan. Following this deal, Hezb-I-Islami forces joined the government troops in their struggle against the Taleban insurgents. The agreement also contained reforms of the military and security sector, with the goal of setting up a national and Islamic army of Afghanistan, and of creating Islamic security forces for deployment throughout the country. 

The powersharing arrangements from the 1993 peace deals were further elaborated upon, ending with Hekmatyar gaining the post of Prime Minister in a transitional government. Also, Hekmatyar’s group (Hezb-I-Islami) were given the highly sought after posts of minister of finance and minister of defense. Further it was agreed that elections would be held and that an elected government would be put in charge of the country as soon as possible. It was also stated that a future government would be based on the foundations of a genuine Islamic order and Islamic principles.

On 26 June Hekmatyar was sworn in as Prime Minister, and a new government under his leadership was announced on 3 June.","Burhanuddin Rabbani, President of the Islamic state of Afghanistan
Gulbuddin Hekmatyar, Hezb-i-Islami","Dyadic peace agreement
The agreement was signed in Mahipar near the Afghan capital.
The signing ceremony was furthermore attended by Abdorrab Rasul Sayyaf from the Ittehad-i-Islami and General Massoud, member of the high state council and Rabbanis associate, as well as delegations from both sides.",,,True,1996-09-28,"Some of the provisions in the accord was implemented. On 26 June Hekmatyar was sworn in as Prime Minister, and a new government under his leadership was announced on 3 June. When the Taleban forces captured Kabul in late September 1996, the coalition government was ousted, and they did not manage to stay united during the continuation of the civil war.",1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2,1,2,4,2,1,22.1,1975-01-01,2021-12-31
1488,3,700,333,Afghanistan: Government,726,Government of Afghanistan - Hizb-i Islami-yi Afghanistan,"130, 299","Government of Afghanistan, Hizb-i Islami-yi Afghanistan",2,Kabul Agreement,2016,2016-09-22,"Full peace agreement

After periods of negotiations over the past few years, a peace agreement was signed in the presidential palace in Kabul on 22 September 2016. The leader of Hizb-i Islami-yi Afghanistan, Gulbuddin Hekmatyar, signed the agreement via a video link and the ceremony was broadcast on live television.

The agreement provided for permanent ceasing of war and violence and the dissolution of Hizb-i Islami's military structures. Hizb-i Islami promised not to establish relations with any illegal armed organization and the government pledged to recruit members of the rebel group to the defense forces. Land and other resources were to be provided for refugees and Hizb-i Islami officials living outside the country.

Regarding the incompatibility the agreement provided for the right of political activity of Hizb-i Islami, and the attendance of the group in the reform process of the electoral system. The government also pledged that the presence of Hizb-i Islami would be ensured in consultative process for arrangement and implementation of government and national policies.

The agreement also included the removal of sanctions imposed on Hizb-i Islami, that Hekmatyar was to be honored by a special decree by the president, amnesty for leaders and members of Hizb-i Islami, and release of imprisoned members of the group. The parties also agreed to create a joint commission to supervise and implement the agreement.","For the Government of Afghanistan: President Mohammad Ashraf Ghani
For Hizb-i Islami-yi Afghanistan: Leader Gulbuddin Hekmatyar

Witnessed by: Chairman for the High Peace Council Pir Sayed Ahmad Gailani","Dyadic agreement signed in Kabul on 22 September 2016

Representatives from the other active rebel group, the Taleban, were not included in the negotiations or the peace agreement.",High Peace Council,"Representatives of the High Peace Council were involved in the process leading up to the agreement, and chairman Pir Sayed Ahmad Gailani signed the agreement.",,,,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,0,1,http://ucdpged.uu.se/peaceagreements/fulltext/Kabul%20Agreement%20between%20the%20Government%20of%20Afghanistan%20and%20Hizb.pdf,2,1,1,0,104,2,22.1,1975-01-01,2021-12-31
1353,4,540,387,Angola: Cabinda,831,Government of Angola - FLEC-R,"99, 540","Government of Angola, FLEC-R",1,Memorandum of Understanding on Peace and National Reconciliation in Cabinda province,2006,2006-08-01,"Partial peace agreement 

The Memorandum of Understanding on Peace and National Reconciliation in Cabinda province was signed after some months of much debated negotiations. Antonio Bento Bembe, who signed the agreement as a representative of CFD (Cabinda Forum for Dialogue) was not acknowledged as a legitimate negotiator by the main body of CFD. The unified FLEC split along former FAC-Renovada lines, with the former rejecting Bembe, saying that he had in fact been dismissed of his functions in the organisation already in February, and the latter supporting him. 

The agreement included provisions for a ceasefire, demilitarization of the CFD controlled areas and a reduction in the number of Angolan armed forces in Cabinda. 

The incompatibility was regulated by the installation of a local government with political and economical powers under the control of the central government in Luanda. Cabinda would have a ""special status"". Exactly what that status would be was not yet determined. However, it was clear that FLEC would get the right to name a government minister without portfolio, three deputy ministers (petroleum, interior and forestry), a deputy governor and some deputy provincial dictatorships. In Angolas state oil company, Sonangol, it would get two non-executive directors, a deputy director for Cabinda and three administrative advisers. 

The accord also stipulated a blanket amnesty to the rebels, and the reinsertion of the former rebels into society.","Angolan minister for Territorial Administration, Virgilio de Fontes Pereira and Antonio Bento Bembe","Dyadic peace agreement 
The Memorandum of Understanding on Peace and National Reconciliation in Cabinda province was signed in Namibe province on 1 August 2006. 

Antonio Bento Bembe claimed to sign for the umbrella group Cabindan Forum for Dialogue (CFD), but a majority of the member organisations rejected the accord, stating that Bembe had no negotiating authority. Many went as far as to say that Bembe was in fact on the governments payroll. The ones supporting Bembe and the agreement appeared to be members of FLEC-Renovada. The latter joined with their former protagonists FLEC-FAC in 2004, but in 2006 the unified FLEC split over negotiations and it is probably more correct to see the peace agreement as being agreed by the government and FLEC-R, rather than CFD. 

As it was commonly held that it was only FLEC-FAC that could be seen as a credible military force at the time, most analysts were sceptical concerning the future impact of the peace agreement.","African Union Chairman and President of the Republic of Congo, Denis Sassou-Nguessou",Denis Sassou-Nguessou hosted the negotiations that led to the signing of the Memorandum of Understanding for Peace and Reconciliation in Cabinda.,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,4,0,1,http://ucdpged.uu.se/peaceagreements/fulltext/Ang%2020060801po.pdf,2,1,2,2,90,2,22.1,1975-01-01,2021-12-31
1021,4,540,327,Angola: Government,714,Government of Angola - UNITA,"99, 567","Government of Angola, UNITA",2,The Gbadolite declaration,1989,1989-06-22,"Peace process agreement

The Gbadolite Declaration was signed in Zaire on 22 June 1989 between the government of Angola and the UNITA movement. The agreement outlined a process which would lead up to an agreement for a definitive peace in Angola.

The agreement stipulated a ceasefire that would be effective from 24 June 1989, and cessation of all hostilities.

Further a mixed commission was formed, with the responsibility of implementing the plan for National Reconciliation. What this plan of National Reconciliation actually entailed was not specified in the agreement itself.",President Jose Eduardo dos Santos signed for the government and dr. Jonas Savimbi for UNITA.,"Comprehensive peace agreement
The Gbadolite Declaration was signed in Zaire on 22 June 1989 by the government and the only party active in the conflict UNITA.",President Mobutu Seso Seke of Zaire,"Mobutu mediated the talks which resulted in the Gbadolite declaration. The following heads of states attended the conference in Gbadolite: The presidents of Zambia, Botswana, Burundi, Cameroon, Cape Verde, Chad, Congo, Gabon, Guinea-Bissau, Mozambique, Niger, Rwanda, Sao Tome and Principe, Tanzania, Zanzibar, Zimbabwe and the king of Morocco.",True,1989-08-24,"There were frequent accusations of violations of the ceasefire from both sides, and no agreement could be reached concerning a key provision of the accord: did Savimbi agree to go into exile or did he merely accept that while he would not be part of a two-year transitional coalition government, he intended to lead UNITA in the multi-party elections which they demanded? The full terms of the accord were interpreted differently by each party and on 24 August 1989, Savimbi announced a resumption of hostilities.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,http://ucdpged.uu.se/peaceagreements/fulltext/Ang%2019890622.pdf,1,1,3,4,3,1,22.1,1975-01-01,2021-12-31
1022,4,540,327,Angola: Government,714,Government of Angola - UNITA,"99, 567","Government of Angola, UNITA",2,The Bicesse Agreement,1991,1991-05-31,"Partial peace agreement

The Bicesse Accords were signed in Lisbon, Portugal, on 31 May 1991, and was a comprehensive peace agreement signed by the government of Angola and UNITA under the mediation of Portugal. The agreement accepted as binding a number of other documents, most importantly the Protocol of Estoril, a ceasefire agreement, the Fundamental Principles for the Establishment of Peace in Angola and the Concepts for Resolving the Issues Still Pending between the Government of the Peoples Republic of Angola and UNITA.

The first issue in the agreement was the establishment of a ceasefire and a cessation of hostilities between the government and UNITA. The ceasefire covered the entire territory and entailed that the parties would refrain from importing lethal equipment, cease all types of attacks and sabotage and stop the spreading of hostile propaganda. The ceasefire was to be monitored by a joint commission, comprised of the two warring parties and a number of third party actors. See Third Parties for more information on this Joint Political-Military Commission.

Further, the agreement stipulated reforms of the military and security sector, creating an integrated army and a new police force. In the military sector the agreement stipulated that both parties would contribute 20 000 troops each to the new armed forces. In the security sector vacancies within the police force would be guaranteed for UNITA members in order to build confidence between the parties. The forces that were not integrated into the new army were to be demobilized and reintegrated into civilian life.

The agreement regulated the incompatibility through allowing UNITA to become a legal political party and through agreeing to hold elections in a multi-party democracy. UNITA was to become a political party, and freely take part in political activities now allowed under a revised constitution for Angola. An elections process was to be held in which the people would vote for a new president and a National Assembly. Political rights were extended, such as the freedom of expression and freedom of association. The authority of the central administration was extended to include the entire Angolan territory.

The implementation of the peace agreement became the responsibility of a joint political-military commission, comprised of the warring parties and third party actors. See Third Parties for further specifications. All civilian and military prisoners were to be released as a consequence of the agreement. The question of the return of exiles was to be discussed in the joint political-military commission.",President Jose Eduardo dos Santos signed for the government and dr. Jonas Savimbi for UNITA.,"Comprehensive peace agreement
The Bicesse Accords were signed by the government and the only warring party in Lisbon, Portugal, on 31 May 1991.","Portugal, the USSR, the USA and the UN","The talks leading up to the signing of the Bicesse Agreement were mediated by Portugal, while the UN, the USA and the USSR also took part in the process. In the peace agreement it was stipulated that representatives of Portugal, the USA and the USSR, together with sub-groups and members of the government and UNITA, were to take part in the joint Politico-Military Commission (CCPM), with the task of overseeing the political and ceasefire process. Also agreed upon was the deployment of a UN verification operation, UNAVEM II, which was to monitor demobilisation and disarmament.",True,1992-10-01,"Presidential and legislative elections took place as scheduled on 29-30 September 1992. International observers judged the conduct of the elections to have been free and fair. However, when the preliminary results indicated that MPLA had obtained a majority of sears in the new National Assembly, Savimbi demanded an inquiry into the alleged electoral irregularities. On 5 October UNITA withdrew from the new national army, FAA. On 17 October the official election results were announced, with dos Santos receiving 49,6% of the votes. Following this announcement violence erupted throughout the country.",1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,http://ucdpged.uu.se/peaceagreements/fulltext/Ang%2019910531.pdf,1,1,2,2,3,1,22.1,1975-01-01,2021-12-31
1023,4,540,327,Angola: Government,714,Government of Angola - UNITA,"7052, 99, 567","United Nations, Government of Angola, UNITA",2,The Lusaka Protocol,1994,1994-11-20,"Full peace agreement

The Lusaka Protocol, the text being agreed upon on 15 November but not signed until 20 November, was a comprehensive peace agreement signed by both warring parties in Lusaka, Zambia, under the mediation of the United Nations. The agreement aimed to implement and to some extent amend the earlier Bicesse Accords of 1991.

The agreement reinstated the ceasefire from 1991, but contained some important amendments. Among other things this ceasefire agreement included the withdrawal of UNITA forces from specific locations to allow for a UN monitoring and verification presence in these areas. UNITA forces would withdraw to encampment areas, while government forces, in turn, would remain in situ. Regarding the military the agreement reaffirmed the provisions of the Bicesse Accords, meaning that there would be a proportionate integration of UNITA forces into the new national army. The agreement amended the earlier deal on the police forces, stipulating a specific number of UNITA troops that would become police officers in the new police force. A demobilization program was created under which military forces were to be demobilized and integrated into civilian society, within the framework of a national social reintegration program to be undertaken by both parties with the assistance of the international community. The ceasefire, the formation of the new armed forces and the demobilization would be monitored and verified by a joint commission and the UN. See Third Parties for further specifications.

The incompatibility was regulated under a framework for National Reconciliation, which entailed a power-sharing arrangement between the two warring factions. In practice this meant that UNITA were to participate in all levels of government, and that the movement was given certain ministerial portfolios, diplomatic missions, governorships and assured participation in the National Assembly. The framework of National Reconciliation also entailed promises to adhere to the rule of law, the censorship of hostile propaganda and an attempt to speed up the electoral process. Also, there was a decentralization of authority, bestowing provinces with more far-reaching self-governing powers in fields such as taxation, economy and administration.

The agreement also provided UNITA with a formal amnesty for crimes committed during the conflict, and supplied the UNITA party and political leaders with appropriate housing.","Angolas Foreign Minister, Venancio de Moura, signed for the government and UNITA Secretary General Eugenio Manuvakola signed for the rebel movement.

For the United Nations Organization Alioune Blondin Beye Special Representative of the Secretary-General of the United Nations in Angola ","Comprehensive peace agreement
The agreement was signed by the government and the only warring party UNITA in Lusaka, Zambia on 20 November 1994.","The UN, Portugal, Russia and the USA","The ""Lusaka Accord"" was brokered by the UN in general and the UNs special envoy to Angola, Alione Blondin Beye, in particular. American, Russian and Portuguese diplomats also took part, as did US President Bill Clintons special envoy, Paul Hare. It stipulated that the Joint Commission (Comissauo Conjunta, or CC) was to oversee the peace agreement. The CC was to be composed of government and UNITA representatives and chaired by Alione Blondin Beye, the special representative of the UN, while representatives of Portugal, the USA and Russia were to attend its meetings as observers. The agreement also stated that the UN was to send a peacekeeping force to monitor the ceasefire (UNAVEM III).",True,1998-12-01,"Implementation of the Lusaka Accord proved to be difficult. UNITA joined the legislature and executive in 1997, but Savimbi stayed away from Luanda. Low-level skirmishes continued throughout the period and new UN sanctions were imposed on UNITA. There were growing indications that UNITA was not disarming properly, and on 31 August 1998 its participation in government was suspended. The accord collapsed completly in December the same year, as the government forces launched major offensives in the central highlands.",1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,http://ucdpged.uu.se/peaceagreements/fulltext/Ang%2019941120.pdf,1,1,1,0,3,2,22.1,1975-01-01,2021-12-31
1126,4,540,327,Angola: Government,714,Government of Angola - UNITA,"7052, 3, 57, 36, 99, 567","United Nations, Government of United States of America, Government of Russia (Soviet Union), Government of Portugal, Government of Angola, UNITA",2,Memorandum of Understanding or Memorandum of Intent,2002,2002-04-04,"Full peace agreement (reaffirmation)

The Memorandum of Understanding or Memorandum of Intent is best understood as an addendum to the Lusaka Protocol, dealing with outstanding issues and deals that had not yet been implemented. The agreement reaffirmed the commitments and obligations of the parties under the Lusaka Protocol, but amended certain deals reached under that agreement.

The agreement reaffirmed a ceasefire and the withdrawal of UNITA troops to quartering locations for demobilization and integration into the national army. The agreement specified the exact numbers of troops to be integrated into the new military and police forces, including high-level posts such as generals and commanding officers. It also reaffirmed the provisions for demobilized troops to be integrated into normal social life and drew up a timetable for the final demobilization of these forces. A mixed commission was created to oversee the last stages of demobilization and reintegration of the demobilized troops. The agreement finally reaffirmed the UN presence and its mission in Angola. See Third Parties in Lusaka Protocol (1994) for further details on this mission.

The incompatibility was regulated through the agreements reached in the Lusaka Protocol of 1994, with UNITA participation in all levels of government through the appointment to high-ranking posts and ministerial portfolios.

The formal amnesty issued under the Lusaka Protocol was also reaffirmed.","Signed by UNITA Chief of Staff of FALA General Geralso Abreu Kamarteiro the Head of FAA, General Armando da Cruz Neto

On behalf of the UN, Ibrahim Gambari

On behalf of the observer states, Christopher William Dell (USA), Andreev Serguei Vadimovich (Russia), Fernando Mendonca DOliveira Neves (Portugal)","Comprehensive peace agreement 
The Memorandum of Understanding was signed by the government and the only warring party UNITA in Luanda on 4 April 2002.",Ibrahim Gambari as undersecretary of the UN and Special Adviser on Africa; Christoffer William Dell as Ambassador of the US in Angola; Andreev Serguei Vadimovich as Ambassador of the Russian Federation in Angola; Fernando Menonca dOliveria Neves as Ambassador of the Portuguese Republic in Angola,Witnessed the signing of the agreement.,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,http://ucdpged.uu.se/peaceagreements/fulltext/Ang20020404.pdf,1,1,1,0,3,3,22.1,1975-01-01,2021-12-31
