id,call,city,state,country,date,lat,lon,elev,atmp,ntmp,nbtmp,nyrt,eyrt,amax,nbmax,amin,nbmin,himax,hidy,lomin,lody,totpcp,nmpcp,nbdypcp,nyrp,eyrp,nbtr,nbdyrep,nbobs,totrepr
01001,ENJA,JAN_MAYEN(NOR-NAVY),-99999,NORWAY,202501,70.9394,-8.6690,10,-3.80,-2.60,62,-99999,2020,-2.40,31,-5.30,31,2.5,25,-13.2,2,30.4,62.5,29,-99999,2020,0,31,248,24.6
01002,-99999,VERLEGENHUKEN,-99999,NORWAY,202501,80.0555,16.2500,8,-9.10,-8.90,60,-99999,2020,-7.40,30,-10.70,30,-0.8,31,-18.4,21,-99999,-99999,0,-99999,2020,0,0,0,-99999
01003,-99999,HORNSUND_RIVER,-99999,NORWAY,202501,77.0002,15.5353,12,-7.30,-8.20,62,-99999,2020,-5.60,31,-9.10,31,1.6,27,-19.6,20,40.3,35.0,30,-99999,2020,0,31,112,24.7
01006,-99999,EDGEOYA,-99999,NORWAY,202501,78.2508,22.8300,14,-9.90,-10.10,62,-99999,2020,-8.40,31,-11.30,31,-1.5,30,-23.8,19,-99999,-99999,0,-99999,2020,0,0,0,-99999
01007,-99999,NY-ALESUND,-99999,NORWAY,202501,78.9230,11.9331,8,-8.10,-10.50,62,-99999,2020,-6.30,31,-9.90,31,1.0,28,-20.6,20,51.0,55.7,31,-99999,2020,3,31,124,50.5
01008,ENSB,SVALBARD/LONGYEAR,-99999,NORWAY,202501,78.2500,15.5015,29,-8.70,-11.00,62,-99999,2020,-6.70,31,-10.70,31,0.9,30,-20.3,19,29.5,17.6,28,-99999,2020,0,31,248,14.0
01009,-99999,PHIPPSOYA,-99999,NORWAY,202501,80.6700,25.0048,5,-9.50,-7.20,62,-99999,2020,-8.10,31,-10.80,31,-0.8,31,-23.1,19,-99999,-99999,0,-99999,2020,0,0,0,-99999
01010,ENAN,ANDOYA/ANDENES(AFB),-99999,NORWAY,202501,69.3073,16.1400,14,-1.20,-1.20,62,-99999,2020,0.50,31,-2.90,31,8.2,17,-10.8,22,197.6,122.1,31,-99999,2020,0,31,248,197.6
01011,-99999,KVITOYA,-99999,NORWAY,202501,80.1035,31.5000,10,-11.70,-10.30,62,-99999,2020,-10.30,31,-13.20,31,-1.7,30,-24.9,20,-99999,-99999,0,-99999,2020,0,0,0,-99999
01013,-99999,ISFJORD_RADIO,-99999,NORWAY,202501,78.0625,13.6192,9,-6.70,-6.90,62,-99999,2020,-5.20,31,-8.30,31,1.2,30,-18.2,20,22.2,-99999,31,-99999,2020,0,31,245,22.2
01015,-99999,HEKKINGEN_FYR,-99999,NORWAY,202501,69.6006,17.8372,14,-0.60,-0.80,62,-99999,2020,0.90,31,-2.10,31,10.7,17,-7.9,10,-99999,-99999,0,-99999,2020,0,0,0,-99999
01016,-99999,KONGSOYA,-99999,NORWAY,202501,78.9200,28.8900,20,-11.50,-9.50,62,-99999,2020,-9.80,31,-13.10,31,-0.6,30,-24.3,20,-99999,-99999,0,-99999,2020,0,0,0,-99999
01017,-99999,GIBOSTAD,-99999,NORWAY,202501,77.6873,14.7800,20,-8.20,-99999,62,-99999,-99999,-6.70,31,-9.70,31,1.6,30,-18.4,24,-99999,-99999,0,-99999,-99999,0,0,0,-99999
01018,-99999,ANDOYA-TROLLTINDEN,-99999,NORWAY,202501,69.2413,16.0030,436,-3.50,-3.90,62,-99999,2020,-2.30,31,-4.70,31,4.6,17,-10.2,8,-99999,-99999,0,-99999,2020,0,0,0,-99999
01020,-99999,SORKAPPOYA,-99999,NORWAY,202501,76.4733,16.5428,10,-7.20,-5.30,62,-99999,2020,-5.80,31,-8.60,31,0.5,27,-18.6,19,-99999,-99999,0,-99999,2020,0,0,0,-99999
01023,ENDU,BARDUFOSS_(CIV/MIL),-99999,NORWAY,202501,69.0577,18.5500,79,-10.30,-8.80,62,-99999,2020,-6.60,31,-13.90,31,8.8,17,-29.5,7,101.4,69.0,30,-99999,2020,0,31,248,85.8
01025,ENTC,TROMSO/LANGNES,-99999,NORWAY,202501,69.6800,18.9200,10,-2.90,-2.90,62,-99999,2020,-1.00,31,-4.80,31,7.1,17,-12.6,5,95.1,104.8,22,-99999,2020,0,0,0,-99999
01026,-99999,TROMSO,-99999,NORWAY,202501,69.6539,18.9281,100,-2.80,-3.10,62,-99999,2020,-1.30,31,-4.30,31,7.2,17,-11.1,5,215.1,85.4,29,-99999,2020,0,31,248,210.0
01027,-99999,TROMSO-HOLT,-99999,NORWAY,202501,69.6538,18.9095,20,-2.00,-3.10,62,-99999,2020,-0.50,31,-3.50,31,8.0,17,-9.8,21,158.2,-99999,31,-99999,2020,0,31,217,158.2
01028,ENBJ,BJORNOYA_ISLAND,-99999,NORWAY,202501,74.5200,19.0200,16,-4.10,-4.80,62,-99999,2020,-2.40,31,-5.90,31,2.9,27,-15.8,21,43.4,48.2,30,-99999,2020,0,31,124,35.3
01030,-99999,KISTEFJELL,-99999,NORWAY,202501,69.3400,18.1300,982,-9.10,-9.00,60,-99999,2020,-7.80,31,-10.20,30,0.0,16,-17.4,22,-99999,-99999,0,-99999,2020,0,0,0,-99999
01033,-99999,TORSVAG_(LGT-H),-99999,NORWAY,202501,70.2500,19.5000,24,0.10,0.10,62,-99999,2020,1.30,31,-1.10,31,7.7,17,-6.1,21,-99999,81.4,0,-99999,2020,0,0,0,-99999
01035,-99999,LYNGEN_GJERDVASSBU,-99999,NORWAY,202501,69.5588,20.0940,710,-6.40,-6.30,62,-99999,2020,-4.00,31,-8.80,31,8.2,17,-19.2,22,-99999,-99999,0,-99999,2020,0,0,0,-99999
01037,-99999,SKIBOTN_2,-99999,NORWAY,202501,69.3875,20.2823,20,-5.10,-6.00,62,-99999,2020,-2.60,31,-7.50,31,10.9,17,-18.7,5,44.8,-99999,31,-99999,2020,0,31,248,44.8
01039,-99999,-99999,-99999,NORWAY,202501,78.2300,15.3900,469,-9.80,-7.20,62,-99999,2020,-8.40,31,-11.30,31,-1.4,30,-20.0,19,-99999,-99999,0,-99999,2020,0,0,0,-99999
01043,-99999,ROGNSUNDET,-99999,NORWAY,202501,70.4107,22.8177,18,-2.00,-2.00,62,-99999,2020,-0.60,31,-3.40,31,7.8,17,-10.1,9,-99999,-99999,0,-99999,2020,0,0,0,-99999
01044,-99999,HASVIK_AP,-99999,NORWAY,202501,70.4865,22.1457,6,-1.30,-1.50,62,-99999,2020,0.60,31,-3.10,31,8.4,17,-9.8,5,-99999,-99999,0,-99999,2020,0,0,0,-99999
01045,-99999,NORDSTRAUM-I-KVAENA,-99999,NORWAY,202501,69.8362,21.8958,20,-2.60,-3.10,62,-99999,2020,-1.00,31,-4.30,31,8.2,17,-10.2,10,51.4,47.0,31,-99999,2020,0,31,248,51.4
01046,ENSR,SORKJOSEN,-99999,NORWAY,202501,69.7902,20.9700,6,-4.30,-5.20,62,-99999,2020,-1.90,31,-6.60,31,11.1,17,-18.9,5,-99999,-99999,0,-99999,2020,0,0,0,-99999
